# bin	obs	bkg	bkgerr	/path/to/sig/yield.txt
#
2b_130	2	0.718	0.331	/storage/at1062/Ulrich_P7_ROOTCuts/MHT130/2b/yields.txt
2b_175	0	0.958	0.347	/storage/at1062/Ulrich_P7_ROOTCuts/MHT175/2b/yields.txt
2b_225	2	1.26	0.401	/storage/at1062/Ulrich_P7_ROOTCuts/MHT225/2b/yields.txt
2b_275	5	1.38	0.444	/storage/at1062/Ulrich_P7_ROOTCuts/MHT275/2b/yields.txt
2b_325	3	0.821	0.292	/storage/at1062/Ulrich_P7_ROOTCuts/MHT325/2b/yields.txt
2b_375	2	0.755	0.294	/storage/at1062/Ulrich_P7_ROOTCuts/MHT375/2b/yields.txt
2b_425	1	0.314	0.126	/storage/at1062/Ulrich_P7_ROOTCuts/MHT425/2b/yields.txt
2b_475	1	0.0619	0.0311	/storage/at1062/Ulrich_P7_ROOTCuts/MHT475/2b/yields.txt
2b_525	0	0.147	0.067	/storage/at1062/Ulrich_P7_ROOTCuts/MHT525/2b/yields.txt
2b_575	0	0.161	0.0853	/storage/at1062/Ulrich_P7_ROOTCuts/MHT575/2b/yields.txt
2b_650	0	0.436	0.246	/storage/at1062/Ulrich_P7_ROOTCuts/MHT650/2b/yields.txt
2b_800	0	0.146	0.0757	/storage/at1062/Ulrich_P7_ROOTCuts/MHT800/2b/yields.txt
3b_130	0	0.0989	0.0847	/storage/at1062/Ulrich_P7_ROOTCuts/MHT130/ge3b/yields.txt
3b_200	1	0.194	0.104	/storage/at1062/Ulrich_P7_ROOTCuts/MHT200/ge3b/yields.txt
3b_275	0	0.18	0.0964	/storage/at1062/Ulrich_P7_ROOTCuts/MHT275/ge3b/yields.txt
3b_325	1	0.202	0.105	/storage/at1062/Ulrich_P7_ROOTCuts/MHT325/ge3b/yields.txt
3b_375	1	0.0961	0.0587	/storage/at1062/Ulrich_P7_ROOTCuts/MHT375/ge3b/yields.txt
3b_425	0	0.0427	0.0305	/storage/at1062/Ulrich_P7_ROOTCuts/MHT425/ge3b/yields.txt
3b_525	0	0.00615	0.0061	/storage/at1062/Ulrich_P7_ROOTCuts/MHT525/ge3b/yields.txt
3b_575	0	0.0808	0.0521	/storage/at1062/Ulrich_P7_ROOTCuts/MHT575/ge3b/yields.txt
